Id,Outcome,Message,SourceUrl,SavedFile
BR9220,Failed,Exception: HttpRequestException,,
BR9204,Failed,Timeout,,
BR9282,Failed,HTTP 404,,
BR9284,Failed,HTTP 404,,
BR9260,Failed,HTTP 404,,
BR9277,Failed,HTTP 404,,
BR9281,Failed,HTTP 301,,
BR9269,Failed,Content-Type: text/html,,
BR9280,Failed,HTTP 404,,
BR9278,Failed,HTTP 403,,
BR9265,Failed,HTTP 404,,
BR9261,Failed,HTTP 404,,
BR9267,Failed,Exception: HttpRequestException,,
BR9191,Failed,Exception: HttpRequestException,,
BR9254,Failed,HTTP 404,,
BR9178,Failed,Exception: HttpRequestException,,
BR9256,Failed,HTTP 404,,
BR9241,Failed,HTTP 404,,
BR9246,Failed,Exception: HttpRequestException,,
BR9163,Failed,Exception: HttpRequestException,,
BR9235,Failed,Exception: HttpRequestException,,
BR9232,Downloaded,,http://www.aeca.es/noticias/memoria2010.pdf,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9232.pdf
BR9231,Failed,HTTP 404,,
BR9266,Failed,HTTP 503,,
BR9268,Failed,Exception: HttpRequestException,,
BR9259,Failed,HTTP 404,,
BR9263,Failed,HTTP 403,,
BR9257,Downloaded,,http://www.afdawn.co.za/images/ARFeb2011.pdf,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9257.pdf
BR9262,Failed,HTTP 404,,
BR9238,Failed,HTTP 404,,
BR9258,Failed,HTTP 404,,
BR9251,Failed,HTTP 404,,
BR9252,Failed,Exception: HttpRequestException,,
BR9250,Failed,HTTP 404,,
BR9247,Failed,Exception: HttpRequestException,,
BR9242,Failed,HTTP 404,,
BR9239,Downloaded,,http://www.aem-group.ru/static/images/Company/pgo/report2010.pdf,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9239.pdf
BR9240,Failed,HTTP 404,,
BR9166,Failed,Exception: HttpRequestException,,
BR9236,Failed,Content-Type: text/html,,
BR9233,Failed,Exception: HttpRequestException,,
BR9230,Failed,HTTP 404,,
BR9229,Failed,HTTP 404,,
BR9228,Failed,Exception: HttpRequestException,,
BR9226,Failed,HTTP 404,,
BR9223,Failed,HTTP 404,,
BR9218,Failed,HTTP 404,,
BR9217,Failed,HTTP 404,,
BR9213,Downloaded,,http://raportyspoleczne.pl/wp-content/uploads/2013/09/dokument_1_20111004161307_162.pdf,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9213.pdf
BR9183,Failed,HTTP 404,,
BR9174,Failed,Content-Type: text/html,,
BR9173,Failed,Exception: HttpRequestException,,
BR9170,Failed,HTTP 404,,
BR9168,Failed,HTTP 404,,
BR9285,Failed,HTTP 441,,
BR9276,Failed,Content-Type: text/html,,
