Id,Status,Message,SourceUrl,OutputPath
BR50041,Failed,Indholdet er ikke en PDF.,,
BR50042,SkippedExisting,Allerede hentet.,,C:\Users\Saphy\Desktop\Specialisterne Academy\Opgave 1 PDF Downloader\PDF Downloader\Downloads\BR50042.pdf
BR50043,Failed,HTTP 403 Forbidden,,
BR50044,Failed,The 'file' scheme is not supported.,,
BR50045,SkippedExisting,Allerede hentet.,,C:\Users\Saphy\Desktop\Specialisterne Academy\Opgave 1 PDF Downloader\PDF Downloader\Downloads\BR50045.pdf
BR50047,SkippedExisting,Allerede hentet.,,C:\Users\Saphy\Desktop\Specialisterne Academy\Opgave 1 PDF Downloader\PDF Downloader\Downloads\BR50047.pdf
BR50048,Failed,HTTP 404 Not Found,,
BR50049,Failed,HTTP 404 Not Found,,
BR50050,Failed,HTTP 404 Not Found,,
BR50051,Failed,Indholdet er ikke en PDF.,,
